,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
7316,195,internal,AB,d,AB->ABC,B,C,19.0167254417505,22.5944008282495,943
7317,211,internal,B,d,B->AB,B,A,0.0180314940111805,0.754921660588819,943
7318,252,internal,B,d,B->AB,B,A,0.459764371439148,0.380889041660852,943
7319,346,internal,C,d,C->BC,C,B,0.174493949696544,0.577795594403456,943
7320,358,internal,C,d,C->AC,C,A,0.12401020005175,0.79830166624825,943
7321,7,tip,B,d,B->AB,B,A,0.215253006539296,0.145663299260704,944
7322,169,tip,C,d,C->BC,C,B,0.109425701991895,0.390751420608105,944
7323,195,internal,AC,d,AC->ABC,C,B,1.96861191081786,39.6425143591821,944
7324,245,internal,A,d,A->AB,A,B,0.489325116374352,1.52132557252565,944
7325,346,internal,C,d,C->BC,C,B,0.184113937526615,0.568175606573385,944
7326,358,internal,C,d,C->AC,C,A,0.0694879157168742,0.852823950583126,944
7327,7,tip,B,d,B->AB,B,A,0.0627482593162832,0.298168046483717,945
7328,169,tip,C,d,C->BC,C,B,0.428472375055418,0.0717047475445818,945
7329,195,internal,A,d,A->AB,A,B,0.317293694209367,41.2938325757906,945
7330,203,internal,B,d,B->AB,B,A,0.136099325625848,2.06932107527415,945
7331,252,internal,B,d,B->AB,B,A,0.207030409712552,0.633623003387448,945
7332,347,internal,C,d,C->BC,C,B,0.0647831453030242,0.443174098696976,945
7333,358,internal,C,d,C->AC,C,A,0.0500437550692948,0.872268111230705,945
7334,162,tip,C,d,C->AC,C,A,0.695404493444667,0.0492005601553327,946
7335,169,tip,C,d,C->BC,C,B,0.286849635669336,0.213327486930664,946
7336,195,internal,A,d,A->AC,A,C,19.9862101430791,21.6249161269209,946
7337,195,internal,AC,d,AC->ABC,A,B,29.9193159899482,11.6918102800518,946
7338,213,internal,B,d,B->AB,B,A,0.165321318632076,0.499534978667924,946
7339,252,internal,B,d,B->AB,B,A,0.11999723755026,0.72065617554974,946
7340,294,internal,A,d,A->AB,A,B,0.0701689134652049,3.8360523135348,946
7341,346,internal,C,d,C->BC,C,B,0.0584893184873458,0.693800225612654,946
7342,162,tip,C,d,C->AC,C,A,0.606861955139178,0.137743098460822,947
7343,169,tip,C,d,C->BC,C,B,0.175805723247859,0.324371399352141,947
7344,195,internal,BC,d,BC->ABC,C,A,1.75644962773202,39.854676642268,947
7345,213,internal,B,d,B->AB,B,A,0.217538405712393,0.447317891587607,947
7346,233,internal,B,d,B->BC,B,C,0.0259951946761521,0.563086788363848,947
7347,252,internal,B,d,B->AB,B,A,0.27521318145003,0.56544023164997,947
7348,347,internal,C,d,C->BC,C,B,0.0322583872062704,0.47569885679373,947
7349,7,tip,B,d,B->AB,B,A,0.100614422060762,0.260301883739238,948
7350,162,tip,C,d,C->AC,C,A,0.399248428841406,0.345356624758594,948
7351,169,tip,C,d,C->BC,C,B,0.31310945322976,0.18706766937024,948
7352,195,internal,AC,d,AC->ABC,A,B,4.81679810613553,36.7943281638645,948
7353,202,internal,A,d,A->AB,A,B,0.454803097228137,2.29386016857186,948
7354,251,internal,B,d,B->AB,B,A,0.130715622850616,1.25952622064938,948
7355,345,internal,C,d,C->BC,C,B,0.31546897135732,0.90932952444268,948
7356,7,tip,B,d,B->AB,B,A,0.159299583295689,0.201616722504311,949
7357,146,tip,C,d,C->BC,C,B,0.297978507552416,0.0132678941475839,949
7358,162,tip,C,d,C->AC,C,A,0.492338261107068,0.252266792492932,949
7359,169,tip,C,d,C->BC,C,B,0.125516425761561,0.374660696838439,949
7360,195,internal,A,d,A->AC,A,C,30.5383114969736,11.0728147730264,949
7361,195,internal,AC,d,AC->ABC,C,B,33.6239996103601,7.98712665963988,949
7362,218,internal,B,d,B->BC,B,C,0.0717819603439014,0.541756304456099,949
7363,252,internal,B,d,B->AB,B,A,0.28280009573403,0.55785331736597,949
7364,276,internal,A,d,A->AB,A,B,0.604690069908814,4.03048496129119,949
7365,295,internal,AB,d,AB->ABC,A,C,0.508823937693612,1.10674605780639,949
7366,7,tip,B,d,B->AB,B,A,0.300150587480828,0.060765718319172,950
7367,52,tip,B,d,B->AB,B,A,0.195639791365725,0.183603421634275,950
7368,162,tip,C,d,C->AC,C,A,0.601309517467074,0.143295536132926,950
7369,169,tip,C,d,C->BC,C,B,0.375083890730479,0.125093231869521,950
7370,198,internal,AC,d,AC->ABC,C,B,0.366304207789976,4.92613002681002,950
7371,346,internal,C,d,C->BC,C,B,0.171202183532425,0.581087360567575,950
7372,7,tip,B,d,B->AB,B,A,0.0681540516495519,0.292762254150448,951
7373,52,tip,A,d,A->AB,A,B,0.169112754906067,0.210130458093933,951
7374,146,tip,C,d,C->BC,C,B,0.224916187397929,0.086330214302071,951
