AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	AC->A,C	BC->B,C
708	1	0	0	1	0	0
709	3	0	0	1	2	0
710	0	1	1	0	1	0
711	1	0	0	1	0	0
712	2	0	0	1	0	0
713	3	0	0	1	1	2
714	1	0	0	1	0	0
715	3	0	0	1	0	0
716	2	0	0	1	0	4
717	1	0	0	0	0	2
718	2	0	0	0	1	0
719	3	0	0	1	1	0
720	2	0	0	1	0	1
721	2	0	0	1	0	1
722	3	0	0	1	0	1
723	2	0	0	1	1	0
724	2	0	0	1	1	1
725	2	0	0	1	0	0
726	1	0	0	1	0	0
727	0	0	0	0	0	1
728	2	0	0	1	0	1
729	1	0	0	0	1	1
730	0	1	0	0	0	2
731	2	0	0	0	1	0
732	2	1	1	0	1	0
733	0	0	0	0	0	2
734	1	0	0	1	0	1
735	2	0	0	0	0	2
736	1	1	0	1	0	2
737	2	0	0	1	2	2
738	2	0	0	1	0	0
739	2	1	0	1	0	3
740	3	0	0	1	1	0
741	2	0	0	0	1	1
742	2	0	0	1	0	0
743	1	0	0	1	0	0
744	3	0	0	1	0	1
745	3	0	0	0	0	2
746	2	0	0	1	1	0
747	0	0	0	0	2	1
748	1	0	0	0	1	1
749	1	0	0	1	0	0
750	1	0	0	0	0	1
751	3	0	0	1	0	1
752	3	0	0	1	0	0
753	1	0	0	1	0	0
754	1	1	1	0	1	1
755	2	0	0	0	0	1
756	1	0	0	0	1	0
757	1	0	0	1	0	0
758	2	0	0	1	0	0
759	0	0	0	0	2	0
760	3	0	0	2	0	0
761	1	0	0	1	0	0
762	1	0	0	1	0	0
763	2	0	0	1	0	0
764	1	0	1	0	1	0
765	2	0	0	1	1	0
766	2	0	0	1	0	0
767	2	1	0	1	0	1
768	1	0	0	1	1	0
769	3	0	0	0	0	2
770	3	0	0	1	0	0
771	1	0	0	0	1	0
772	2	1	0	1	0	0
773	1	0	0	1	0	1
774	1	0	0	1	0	1
775	1	0	0	1	0	1
776	2	0	0	1	1	0
777	2	0	0	1	1	0
778	1	0	0	0	2	1
779	3	0	0	2	0	0
780	1	0	0	1	1	1
781	2	0	0	2	1	0
782	4	0	0	1	0	0
783	0	0	0	0	1	0
784	0	0	0	0	1	1
785	3	0	0	1	1	1
786	2	1	0	1	1	2
787	1	0	0	1	0	0
788	1	1	0	0	0	1
789	1	0	1	0	3	0
790	2	0	0	1	0	0
791	3	0	0	1	0	1
792	0	0	0	0	1	0
793	2	0	0	1	0	0
794	1	1	0	0	0	1
795	2	0	0	1	0	0
796	2	0	0	1	0	1
797	1	0	0	1	0	0
798	1	0	0	1	2	1
799	3	0	0	1	0	2
800	1	0	0	1	1	0
801	1	0	0	1	1	1
802	1	0	0	1	0	1
803	1	0	0	2	0	0
804	2	0	0	1	0	0
805	1	0	0	1	0	0
806	1	0	0	1	1	1
807	3	0	0	1	0	1
808	1	0	0	1	0	1
809	1	0	0	1	1	0
810	2	0	0	1	0	1
811	1	0	0	1	0	3
812	1	0	0	1	0	2
813	2	0	0	1	2	0
814	2	0	0	1	0	0
815	1	0	0	0	1	0
816	1	0	0	1	0	1
817	2	0	0	0	0	1
818	5	0	0	1	0	0
819	2	0	0	1	0	0
820	2	1	1	1	0	1
821	2	0	0	1	0	0
822	2	0	0	1	0	0
823	4	0	0	2	0	0
824	2	0	0	1	1	0
825	2	0	0	1	1	0
826	2	0	0	0	0	0
827	1	0	0	1	0	1
828	2	0	0	1	0	0
829	2	0	0	1	0	1
830	1	0	0	1	1	1
831	3	0	0	0	0	0
832	2	1	0	1	0	1
833	1	0	0	1	1	0
834	1	0	0	0	1	1
835	1	0	0	1	0	1
836	0	1	0	0	0	1
837	0	0	0	0	1	2
838	2	0	0	1	0	0
839	1	0	0	1	1	1
840	1	0	0	1	0	0
841	1	0	0	1	1	0
842	4	1	0	1	0	0
843	2	0	0	0	1	0
844	2	0	0	1	0	0
845	1	1	0	1	0	0
846	3	0	0	1	0	1
847	1	1	1	1	0	0
848	1	0	0	1	0	0
849	1	0	0	1	1	0
850	1	0	0	1	0	1
851	0	0	1	0	2	0
852	2	0	0	0	1	1
853	1	0	0	1	0	0
854	2	0	0	0	1	1
855	2	0	0	0	1	2
856	2	0	0	0	0	2
857	2	1	0	1	1	0
858	0	0	0	0	1	0
859	2	0	0	1	0	0
860	2	0	0	1	0	1
861	2	0	0	0	2	1
862	3	0	0	0	0	2
863	1	0	0	0	1	0
864	1	0	0	1	0	2
865	1	0	0	1	0	1
866	2	0	0	0	0	1
867	1	0	0	0	1	1
868	2	1	0	0	0	2
869	1	0	0	1	0	1
870	2	1	0	1	0	1
871	0	0	1	1	2	0
872	2	0	0	1	0	0
873	2	0	0	1	0	0
874	2	0	0	1	0	1
875	1	0	0	1	2	1
876	3	0	0	1	0	0
877	1	0	0	1	0	0
878	0	0	0	0	0	1
879	2	0	0	0	0	3
880	0	0	0	0	0	0
881	2	0	0	1	0	1
882	3	0	0	1	1	0
883	1	0	0	1	0	3
884	3	0	0	1	0	0
885	2	1	0	1	0	1
886	1	0	0	0	1	0
887	1	0	0	1	1	1
888	1	0	0	1	1	1
889	2	0	0	1	0	0
890	1	0	0	0	0	1
891	2	0	0	1	0	0
892	0	0	1	0	1	0
893	2	0	0	1	0	0
894	1	0	2	1	1	1
895	2	0	0	1	1	2
896	1	0	0	1	0	0
897	1	0	0	0	1	1
898	1	0	0	1	0	0
899	1	0	0	1	1	0
900	2	0	0	2	0	0
901	3	1	0	1	0	0
902	1	1	0	0	0	1
903	1	0	0	0	1	0
