AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
626	0	1	1	0	0	0	0	1	1
627	0	0	2	1	1	0	0	0	0
628	3	3	0	0	0	0	0	0	1
629	1	0	0	0	0	0	0	0	0
630	1	2	1	0	0	0	0	0	0
631	1	1	0	1	1	4	0	0	0
632	2	0	0	0	0	0	0	0	0
633	0	0	2	1	1	0	0	2	2
634	2	4	0	0	0	0	0	1	2
635	5	1	0	0	0	0	0	0	2
636	1	0	0	0	0	1	0	1	1
637	1	2	0	0	0	0	0	1	1
638	0	0	0	0	0	0	0	0	1
639	3	1	0	0	0	0	0	1	1
640	1	1	0	0	0	0	0	1	1
641	3	3	0	0	0	0	0	0	0
642	3	0	0	0	0	0	0	1	0
643	1	0	0	0	0	0	0	0	2
644	1	0	0	0	0	1	0	1	1
645	2	0	0	0	0	0	0	1	0
646	2	0	0	1	0	0	0	0	0
647	3	2	0	0	0	0	0	0	0
648	1	0	0	0	0	0	0	0	0
649	1	1	0	0	0	0	0	1	1
650	4	2	0	1	0	1	0	1	1
651	3	1	0	0	0	1	0	1	3
652	3	1	0	1	0	1	0	0	0
653	1	0	0	0	0	1	0	1	2
654	1	0	0	0	0	0	0	0	0
655	5	3	0	0	0	0	3	0	0
656	2	4	0	0	0	0	0	0	0
657	2	0	0	0	0	0	0	2	2
658	0	1	0	0	0	0	0	1	2
659	1	0	0	0	0	1	0	1	3
660	1	0	0	0	0	0	0	0	0
661	0	0	0	0	0	0	1	0	0
662	1	0	0	0	0	0	0	0	1
663	1	0	0	0	0	0	0	1	1
664	2	1	0	0	0	0	0	1	2
665	0	0	0	0	0	1	0	0	0
666	1	3	0	0	0	1	2	0	0
667	2	1	0	0	0	1	0	1	3
668	1	0	1	0	0	0	0	0	0
669	3	1	1	1	0	1	0	0	1
670	3	1	1	0	0	0	0	1	3
671	4	2	1	0	0	0	0	0	0
672	0	1	0	0	0	0	0	1	1
673	1	4	0	0	0	0	0	0	0
674	1	1	0	0	0	0	0	0	0
675	1	1	0	0	0	0	0	0	0
676	2	1	0	0	0	0	0	0	0
677	4	1	0	0	0	0	0	1	1
678	1	0	1	1	1	3	0	0	1
679	2	2	0	0	0	0	0	1	3
680	1	0	0	0	0	0	0	1	1
