,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
284,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,56
285,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,56
286,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,57
287,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,57
288,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,57
289,84,internal,4,founder (j),C->C,B,C,B,1.4469109,85,19,57
290,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,57
291,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,57
292,71,internal,4,founder (j),C->B,C,C,B,1.2675084,72,3,58
293,72,internal,3,founder (j),B->B,C,B,C,1.2643832,1,2,58
294,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,58
295,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,58
296,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,58
297,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,58
298,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,59
299,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,59
300,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,59
301,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,59
302,88,internal,4,founder (j),C->B,C,C,B,1.0948354,89,90,59
303,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,60
304,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,60
305,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,60
306,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,60
307,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,60
308,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,61
309,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,61
310,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,61
311,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,61
312,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,61
313,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,62
314,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,62
315,78,internal,4,founder (j),C->A,C,C,A,0.9767818,79,13,62
316,86,internal,4,founder (j),C->B,C,C,B,1.4397735,16,17,62
317,89,internal,4,founder (j),C->C,B,C,B,0.6536147,24,25,62
318,72,internal,4,founder (j),C->B,C,C,B,1.2643832,1,2,63
319,77,internal,4,founder (j),C->C,B,C,B,1.0095247,78,14,63
