,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
357,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,52
358,23,internal,2,founder (j),A->A,B,A,B,6.9527128,24,37,53
359,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,53
360,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,53
361,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,53
362,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,53
363,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,53
364,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,54
365,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,54
366,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,54
367,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,54
368,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,54
369,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,54
370,23,internal,3,founder (j),B->A,B,B,A,6.9527128,24,37,55
371,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,55
372,32,internal,2,founder (j),A->A,C,A,C,1.8728553,33,36,55
373,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,55
374,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,55
375,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,55
376,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,55
377,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,56
378,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,56
379,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,56
