AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
533	0	1	0	0	0	1	1	0	0
534	0	2	1	0	1	0	0	0	0
535	0	2	1	0	1	0	0	0	0
536	0	2	1	0	1	0	0	0	0
537	0	2	1	0	1	0	0	0	0
538	0	2	1	0	1	0	0	0	0
539	1	0	0	0	0	0	0	0	0
540	0	2	1	0	1	0	0	0	0
541	1	0	0	0	0	1	1	0	0
542	2	2	0	1	1	0	0	0	0
543	0	2	0	0	1	0	0	0	0
544	0	2	0	0	0	1	1	0	0
545	0	2	0	0	0	0	0	0	0
546	0	2	1	0	1	0	0	0	0
547	0	2	0	0	0	1	1	0	0
548	0	2	1	0	1	0	0	0	0
549	0	2	0	0	0	1	1	0	0
550	0	2	1	0	1	0	0	0	0
551	0	2	1	0	1	0	0	0	0
552	0	2	0	0	0	1	1	0	0
553	1	0	0	0	0	1	1	0	0
554	0	2	0	0	0	1	1	0	0
555	0	2	1	0	1	0	0	0	0
556	0	2	0	0	0	0	1	0	0
557	0	0	1	0	1	0	0	0	0
558	0	2	1	0	1	0	0	0	0
559	0	2	0	0	0	1	1	0	0
560	1	2	0	0	1	0	0	0	0
561	0	2	1	0	1	0	0	0	0
562	1	2	0	0	0	0	0	0	0
563	0	2	0	0	0	1	1	0	0
564	0	2	0	0	0	1	1	0	0
565	2	2	1	0	1	0	0	0	0
566	0	2	0	0	0	1	1	0	0
567	0	2	0	0	0	1	1	0	0
568	0	2	1	0	1	0	0	0	0
569	0	2	0	0	0	1	1	0	0
570	0	2	0	0	0	1	1	0	0
571	0	2	1	0	1	0	0	0	0
572	0	2	0	0	0	1	1	0	0
573	0	2	0	0	0	1	1	0	0
574	0	2	1	0	1	0	0	0	0
575	0	2	1	0	1	0	0	0	0
576	0	2	0	0	0	1	1	0	0
577	2	2	0	0	1	0	0	0	0
578	1	0	1	0	1	0	0	0	0
579	0	0	1	0	1	0	0	0	0
580	0	2	1	0	1	0	0	0	0
581	1	2	0	0	0	1	1	0	0
582	0	2	0	0	0	1	1	0	0
583	0	2	0	0	1	0	0	0	0
584	0	0	0	0	0	1	1	0	0
585	0	2	0	0	0	1	1	0	0
586	0	0	0	0	1	0	0	0	0
587	0	2	0	0	0	1	1	0	0
588	0	2	1	0	1	0	0	0	0
589	0	0	1	0	1	0	0	0	0
590	0	2	1	0	1	0	0	0	0
591	0	2	0	0	0	1	1	0	0
592	0	2	0	0	0	1	1	0	0
593	0	2	0	0	0	1	1	0	0
594	0	2	0	0	0	1	1	0	0
595	0	2	0	0	0	1	1	0	0
596	0	2	1	0	1	0	0	0	0
597	0	1	1	0	1	0	0	0	0
598	2	2	0	1	1	0	0	0	0
599	1	0	0	0	0	1	1	0	0
600	0	0	0	0	0	1	1	0	0
601	0	2	1	0	1	0	0	0	0
602	2	2	0	0	0	1	1	0	0
603	2	2	1	0	1	0	0	0	0
604	0	2	0	0	0	0	0	0	0
605	0	2	0	0	0	1	1	0	0
606	2	2	0	1	1	0	0	0	0
607	0	2	0	0	0	1	1	0	0
608	1	2	0	0	0	1	1	0	0
609	2	2	0	0	0	0	0	1	1
610	2	2	1	0	1	0	0	0	0
611	1	1	0	0	0	0	0	0	0
612	0	0	1	0	1	0	0	0	0
613	2	3	0	0	0	0	0	0	0
614	0	2	0	0	0	1	1	0	0
615	0	2	1	0	1	0	0	0	0
616	2	2	0	0	0	0	0	1	1
617	0	2	0	0	0	0	0	0	0
618	0	2	0	0	0	1	1	0	0
619	0	2	1	0	1	0	0	0	0
620	0	2	1	0	1	0	0	0	0
621	2	2	0	1	1	0	0	0	0
622	0	2	0	0	0	1	1	0	0
623	1	0	0	0	0	0	0	1	1
624	0	2	1	0	1	0	0	0	0
625	0	2	0	0	0	1	1	0	0
626	1	0	0	0	0	0	0	1	1
627	0	0	0	0	0	1	1	0	0
628	0	1	1	0	1	0	0	0	0
629	0	2	1	0	1	0	0	0	0
630	1	0	0	0	0	1	1	0	0
631	0	2	0	0	1	0	0	0	0
632	1	0	0	0	0	1	1	0	0
633	0	2	0	0	1	0	0	0	0
634	0	2	1	0	1	0	0	0	0
635	0	2	0	0	0	1	1	0	0
636	0	1	1	0	1	0	0	0	0
637	0	2	1	0	1	0	0	0	0
638	0	2	1	0	1	0	0	0	0
639	1	0	1	0	1	0	0	0	0
640	0	2	1	0	1	0	0	0	0
641	0	0	0	0	0	1	1	0	0
642	2	2	0	0	0	1	1	0	0
643	2	2	0	1	1	0	0	0	0
644	1	0	1	0	1	0	0	0	0
645	2	2	1	0	1	0	0	0	0
646	0	2	0	0	0	1	1	0	0
647	0	2	0	0	1	0	0	0	0
648	0	2	0	0	0	1	1	0	0
649	1	0	1	0	1	0	0	0	0
650	2	2	1	0	1	0	0	0	0
651	0	2	1	0	1	0	0	0	0
652	0	2	0	0	0	1	1	0	0
653	0	2	1	0	1	0	0	0	0
654	1	0	0	0	0	1	1	0	0
655	0	0	0	0	0	1	1	0	0
656	1	2	0	0	1	0	0	0	0
657	0	2	0	0	0	1	1	0	0
658	0	2	0	0	0	1	1	0	0
659	0	2	1	0	1	0	0	0	0
660	0	2	0	0	0	1	1	0	0
661	1	0	0	1	1	0	0	0	0
662	0	2	0	0	0	1	1	0	0
663	0	2	1	0	1	0	0	0	0
664	0	2	0	0	0	1	1	0	0
665	0	2	0	0	1	0	0	0	0
666	0	2	0	0	0	1	1	0	0
667	0	0	0	0	0	1	1	0	0
668	0	2	0	0	0	1	1	0	0
669	0	2	1	0	1	0	0	0	0
670	0	2	0	0	0	1	1	0	0
671	0	2	0	0	0	1	1	0	0
672	0	2	1	0	1	0	0	0	0
673	2	2	0	0	0	1	1	0	0
674	0	2	0	0	0	1	1	0	0
675	0	2	1	0	1	0	0	0	0
676	0	2	0	0	0	1	1	0	0
677	0	2	0	0	0	1	1	0	0
678	0	2	0	0	0	1	1	0	0
679	0	2	0	0	0	1	1	0	0
680	0	2	0	0	0	1	1	0	0
