,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
202,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,51
203,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,52
204,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,52
205,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,52
206,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,52
207,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,53
208,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,53
209,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,53
210,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,53
211,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,54
212,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,54
213,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,54
214,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,54
215,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,55
216,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,55
217,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,55
218,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,56
219,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,56
220,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,56
221,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,56
222,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,57
223,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,57
224,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,57
225,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,58
226,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,58
227,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,58
228,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,58
229,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,59
230,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,59
231,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,59
232,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,59
233,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,60
234,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,60
235,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,60
236,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,60
237,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,61
238,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,61
239,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,61
240,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,62
241,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,62
242,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,62
243,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,62
244,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,63
245,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,63
246,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,63
247,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,63
248,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,64
249,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,64
250,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,64
251,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,64
252,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,65
253,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,65
254,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,65
255,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,65
256,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,66
257,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,66
258,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,66
259,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,67
260,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,67
261,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,67
262,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,68
263,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,68
264,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,68
265,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,69
266,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,69
267,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,69
268,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,69
269,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,70
270,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,70
271,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,70
272,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,70
273,27,internal,4,founder (j),C->A,C,C,A,14.6110133,28,45,71
274,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,71
275,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,71
276,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,71
277,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,71
278,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,72
279,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,72
280,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,72
281,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,73
282,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,73
283,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,73
284,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,73
285,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,74
286,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,74
287,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,74
288,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,74
289,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,75
290,31,internal,2,founder (j),A->A,B,A,B,7.249757,32,36,75
291,36,internal,3,founder (j),B->A,B,B,A,3.2364302,6,7,75
292,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,75
293,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,75
294,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,76
295,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,76
296,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,76
297,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,76
298,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,77
299,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,77
300,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,77
301,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,77
302,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,78
303,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,78
304,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,78
305,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,79
306,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,79
307,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,79
308,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,79
309,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,80
310,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,80
311,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,80
312,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,81
313,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,81
314,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,81
315,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,81
316,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,82
317,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,82
318,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,82
319,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,82
320,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,83
321,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,83
322,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,83
323,45,internal,3,founder (j),B->C,B,B,C,13.5103594,46,48,83
324,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,84
325,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,84
326,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,84
327,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,84
