,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
194,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,56
195,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,57
196,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,57
197,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,57
198,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,57
199,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,58
200,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,58
201,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,58
202,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,59
203,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,59
204,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,59
205,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,60
206,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,60
207,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,60
208,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,61
209,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,61
210,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,61
211,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,62
212,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,62
213,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,62
214,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,62
215,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,63
216,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,63
217,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,63
218,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,64
219,23,internal,4,founder (j),C->B,C,C,B,4.313334,24,26,64
220,24,internal,3,founder (j),B->C,B,B,C,2.2887183,25,3,64
221,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,64
222,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,64
223,23,internal,4,founder (j),C->B,C,C,B,4.313334,24,26,65
224,24,internal,3,founder (j),B->C,B,B,C,2.2887183,25,3,65
225,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,65
226,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,65
227,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,66
228,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,66
229,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,66
230,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,66
231,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,67
232,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,67
233,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,67
234,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,67
235,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,68
236,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,68
237,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,68
238,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,68
239,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,69
240,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,69
241,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,69
242,30,internal,4,founder (j),C->B,C,C,B,4.8781392,31,11,69
243,31,internal,3,founder (j),B->C,B,B,C,1.9612794,9,10,69
244,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,70
245,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,70
246,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,70
247,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,71
248,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,71
249,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,71
250,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,72
251,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,72
252,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,72
253,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,72
254,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,73
255,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,73
256,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,73
257,22,internal,4,founder (j),C->C,B,C,B,4.7854671,23,27,74
258,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,74
259,27,internal,3,founder (j),B->C,B,B,C,4.3618615,28,8,74
260,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,74
261,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,75
262,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,75
263,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,75
264,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,76
265,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,76
266,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,76
267,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,77
268,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,77
269,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,77
270,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,78
271,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,78
272,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,78
273,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,79
274,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,79
275,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,79
276,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,80
277,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,80
278,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,80
279,19,root,2,founder (j),A->C,A,A,C,6.6399371,20,35,81
280,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,81
281,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,81
282,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,81
283,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,82
284,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,82
285,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,82
286,19,root,4,founder (j),C->C,A,C,A,6.6399371,20,35,83
287,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,83
288,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,83
289,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,83
290,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,84
291,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,84
292,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,84
293,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,85
294,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,85
295,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,85
296,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,86
297,27,internal,4,founder (j),C->C,B,C,B,4.3618615,28,8,86
298,31,internal,4,founder (j),C->C,B,C,B,1.9612794,9,10,86
299,24,internal,4,founder (j),C->C,B,C,B,2.2887183,25,3,87
